Admin2,Province/State,Country/Region,02-19-2021
,Anhui,China,994
,Beijing,China,1046
,Chongqing,China,591
,Fujian,China,548
,Gansu,China,187
,Guangdong,China,2183
,Guangxi,China,267
,Guizhou,China,147
,Hainan,China,171
,Hebei,China,1317
,Heilongjiang,China,1610
,Henan,China,1304
,Hong Kong,China,10833
,Hubei,China,68151
,Hunan,China,1035
,Inner Mongolia,China,367
,Jiangsu,China,703
,Jiangxi,China,935
,Jilin,China,573
,Liaoning,China,405
,Macau,China,48
,Ningxia,China,75
,Qinghai,China,18
,Shaanxi,China,547
,Shandong,China,867
,Shanghai,China,1778
,Shanxi,China,239
,Sichuan,China,883
,Tianjin,China,351
,Tibet,China,1
,Unknown,China,0
,Xinjiang,China,980
,Yunnan,China,231
,Zhejiang,China,1320
